recording_id,duration_s,n_channels,input_total_spikes,excluded_out_of_range_spikes,total_spikes,firing_rate_mean_hz,firing_rate_median_hz,firing_rate_std_hz,firing_rate_max_hz,firing_rate_cv,active_channel_fraction,dominant_channel_fraction,refractory_violation_fraction,isi_median_s,isi_cv_mean,sttc_mean,sttc_median,sttc_max,network_density,network_clustering,population_entropy,event_quality_score,firing_stability_cv,activity_decay_log2_ratio,activity_trend_normalized_slope,feature_schema_version,network_burst_rate_per_min,network_burst_mean_duration_s,network_burst_participation,avalanche_bin_s,avalanche_count,avalanche_rate_per_min,avalanche_size_mean,avalanche_size_median,avalanche_size_max,avalanche_size_cv,avalanche_duration_mean_s,avalanche_branching_ratio,avalanche_criticality_distance,connectivity_bin_s,connectivity_channels_used,mutual_information_mean_bits,mutual_information_max_bits,transfer_entropy_mean_bits,transfer_entropy_max_bits,transfer_entropy_asymmetry_mean_bits,granger_log_variance_ratio_mean,granger_log_variance_ratio_max,dose_um,group_id,condition,data_doi,sampling_rate_hz,duration_inferred,protocol_duration_s,duration_source
control_2950,180.0,18.0,12653.0,0.0,12653.0,3.9052469135802466,2.6333333333333333,3.6472745110269353,11.444444444444445,0.9339421019305518,1.0,0.16280723938986805,0.0002461498043879182,0.027050000000000907,1.838947036282577,0.6244733253323641,0.6428668080080715,0.9584318257543644,0.934640522875817,0.6626334750585673,0.3247518630842815,99.95077003912242,0.03743787107639845,-0.03763468195221988,0.013074256810920398,2.0,38.0,0.2736842105263158,0.9234892787524367,0.014462792286058658,227.0,75.66666666666666,55.74008810572687,9.0,159.0,1.0181822769863749,0.12130905952711755,0.9747937153837459,0.02520628461625407,0.05,18.0,0.11990549542132742,0.4542135778336547,0.018357324777177508,0.14675545652569816,0.026000011099762205,0.1173635193131197,1.0375872417764647,0.0,2950,control,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam3uM_2950,180.0,18.0,11536.0,3.0,11533.0,3.559567901234568,2.4694444444444446,3.0763204674583693,9.688888888888888,0.8642398607964205,1.0,0.1512182433018295,0.0004050062683870205,0.02006250000000076,1.8433215215793846,0.6499735547128942,0.6810478032069212,0.9614467303796819,0.954248366013072,0.6789015944415078,0.3086993139330232,99.70862687803873,0.01113139227294905,0.002255973940368276,0.01716812624642369,2.0,38.66666666666667,0.2349137931034483,0.8917624521072797,0.01584772145191204,227.0,75.66666666666666,50.80616740088106,7.0,178.0,1.0792556764165564,0.11219069767939491,0.9746819338422392,0.025318066157760777,0.05,18.0,0.12649864701532662,0.39762117214675397,0.01862028410217886,0.13083650723994608,0.02644338533690457,0.11022961083112903,0.8712885056241042,3.0,2950,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam10uM_2950,180.0,18.0,12133.0,0.0,12133.0,3.744753086419753,2.4944444444444445,3.181090969124979,10.911111111111111,0.8494794972360449,1.0,0.16187257891700324,0.0003284952113222161,0.01857500000000023,1.557990130923238,0.6786750820485278,0.7195100467875973,0.9714094822964936,0.9411764705882353,0.7056670319980829,0.34127283818876347,99.93430095773556,0.027232121023161877,-0.049837768950422336,-0.04754447728155775,2.0,53.0,0.18301886792452832,0.8675751222921035,0.015162996040104473,251.0,83.66666666666666,48.33864541832669,74.0,125.0,0.8811097171063462,0.10227471034221862,0.9606955693187232,0.03930443068127676,0.05,18.0,0.14421951601999605,0.4127977508455547,0.022173741660732552,0.13292317719608385,0.035175235540749646,0.12277830976580585,0.8138391955744032,10.0,2950,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam30uM_2950,180.0,18.0,8848.0,0.0,8848.0,2.730864197530865,1.6972222222222222,2.3701195051149084,8.25,0.8679009037717339,1.0,0.16783453887884264,5.7690088842736815e-05,0.10247500000000898,1.279714708316051,0.6065169338094626,0.6834178260854652,0.9792783137340388,0.9084967320261438,0.6364662140127102,0.3639841793705968,99.98846198223146,0.03749876691159154,0.061097134208121885,0.05986825109790788,2.0,63.666666666666664,0.1573298429319372,0.7210587550901687,0.02072427452786734,256.0,85.33333333333334,34.5625,54.0,75.0,0.8365089526387816,0.11285015114002761,0.8857238605898123,0.11427613941018766,0.05,18.0,0.11737848479025052,0.3653483704021991,0.026149111487299065,0.17790166916777325,0.04150128806282572,0.1240778665415969,1.178297313669438,30.0,2950,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam50uM_2950,180.0,18.0,4738.0,0.0,4738.0,1.4623456790123455,1.0611111111111111,1.1019196299657366,3.9833333333333334,0.753528830960107,1.0,0.1513296749683411,0.0008249845276705013,1.032450000000006,0.8265926930700455,0.5688740898110152,0.6343546244261717,0.9924344061556594,0.9084967320261438,0.5745796290066507,0.37283380244365616,99.8350030944659,0.034900846954148385,0.019365324866931214,0.030754387022854993,2.0,74.33333333333334,0.10852017937219732,0.655455904334828,0.03854382226980728,271.0,90.33333333333333,17.48339483394834,24.0,43.0,0.6850775454998876,0.10951565737177714,0.6611703847397349,0.3388296152602651,0.05,18.0,0.09279142362316219,0.25446444822733777,0.012198204376673655,0.07624027505983337,0.021612107795225013,0.03741968896295163,0.39246394984966654,50.0,2950,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
control_2953,180.0,106.0,29736.0,0.0,29736.0,1.5584905660377357,0.7027777777777777,1.842289319526989,9.033333333333333,1.1820984737885039,0.9811320754716981,0.05468119451170299,0.00010236129989332074,0.3387000000000029,1.5930542206804938,0.22043206669212542,0.15289419738554244,1.0,0.5712488769092543,0.27998152662374154,0.6165259225470617,99.97952774002134,0.09588256567246284,-0.012027539782139662,0.12775279603366735,2.0,85.33333333333334,0.19375,0.22951061320754718,0.006199546786145097,2942.0,980.6666666666667,10.107409925220939,1.0,511.0,5.101298756176823,0.018031788527887012,0.9989124524197933,0.0010875475802066825,0.05,24.0,0.1585296919973951,0.383048738666081,0.030376839990102742,0.11420590426336033,0.03020338238174816,0.0780052809161721,0.6018020427086916,0.0,2953,control,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam3uM_2953,180.0,107.0,27440.0,4.0,27436.0,1.4245067497403945,0.75,1.8082799883458012,9.905555555555555,1.269407806369009,0.9626168224299065,0.06498760752296252,0.00011984618869021846,0.24350000000000094,1.591938252949606,0.23191120157955708,0.16417559051976272,1.0,0.5783812378769176,0.29431700628987695,0.5881114569981717,99.81827256114819,0.06932114173429314,-0.27600546607510057,-0.08478953616728757,2.0,78.33333333333333,0.18425531914893617,0.2014714655000994,0.0067305680203425325,3068.0,1022.6666666666666,8.942633637548893,1.0,540.0,6.032913053449927,0.017416551340775542,0.99978621515307,0.00021378484693002076,0.05,24.0,0.14259671153098907,0.40278534743021693,0.029083955289828885,0.10338899709898086,0.023168453049148077,0.07891361712855163,0.7364862569672752,3.0,2953,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam10uM_2953,180.0,107.0,30293.0,29.0,30264.0,1.5713395638629282,0.8166666666666667,1.8661232936722822,10.083333333333334,1.1876002721427492,0.9906542056074766,0.059972244250594775,0.00010517438043453021,0.20614999999999384,1.563896124066356,0.22542740969080685,0.15837085087962907,1.0,0.5796155880797037,0.284004851096738,0.6309929333423722,99.58596311228695,0.09715813676877755,0.005389703157878184,0.002662286167441575,2.0,54.333333333333336,0.19386503067484664,0.30869789576285755,0.006087149477387275,3296.0,1098.6666666666665,9.182038834951456,1.0,541.0,5.314604774691929,0.016811687406752537,0.9980319518407038,0.0019680481592961874,0.05,24.0,0.14038420901897644,0.41087101063620945,0.031965828011579864,0.10865442614534386,0.026169262989021023,0.07276455222755095,0.8323038196389617,10.0,2953,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam30uM_2953,180.0,107.0,27706.0,0.0,27706.0,1.4385254413291797,0.7388888888888889,1.5236416722580641,7.466666666666667,1.0591690827867724,0.9906542056074766,0.04850934815563416,0.0001573935198285763,0.47435000000000116,1.3858088923525724,0.2539216206739933,0.2112144991911877,0.9825464861697863,0.6467995062599189,0.30889796500482164,0.5946847598859208,99.96852129603428,0.09526166206934507,0.2932971917758747,0.08470573676666272,2.0,98.66666666666666,0.15287162162162163,0.2399595857539782,0.006653342211371287,2337.0,779.0,11.855370132648694,1.0,369.0,4.0389654462639575,0.020552194019635994,0.9977113899219421,0.0022886100780579177,0.05,24.0,0.15576356748694037,0.41666174981848053,0.04103448497897414,0.11683779410884373,0.03647805287300918,0.08891550926149797,0.5339950643191875,30.0,2953,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
diazepam50uM_2953,180.0,106.0,18436.0,0.0,18436.0,0.9662473794549266,0.6361111111111111,0.8766185649310587,4.538888888888889,0.9072403026081906,0.9150943396226415,0.04431546973313083,0.00014473776275439562,1.9621749999999913,1.0757856796146124,0.3081589471824326,0.27907326607741695,0.9929311251628634,0.6936208445642408,0.35234866877111837,0.47560230942588494,99.97105244744913,0.03310788309409422,0.020381499998021205,-0.00464928865883481,2.0,102.33333333333333,0.15016286644951143,0.20963677708807082,0.010037349431184476,1361.0,453.66666666666663,13.54592211609111,1.0,265.0,3.314683161783977,0.027597179699847395,0.9958333333333333,0.004166666666666652,0.05,24.0,0.14766656596213606,0.3784285297613957,0.03821632065988847,0.12509765631509265,0.030866409269654768,0.0947952269469198,0.4259449329296822,50.0,2953,diazepam,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
control_2954,180.0,38.0,5536.0,0.0,5536.0,0.8093567251461988,0.6361111111111111,0.6717279915110943,2.8055555555555554,0.8299529374884186,0.9210526315789473,0.09122109826589594,5.2213868003341685e-05,0.7319750000000056,1.1018686365882113,0.08133680920523037,0.021356903802580558,0.9503330238345069,0.21906116642958748,0.1901363658201147,0.6244343945649885,99.98955722639933,0.020825674915220208,-0.026078132366829973,0.0034062758051190407,2.0,153.0,0.09956427015250545,0.16437335167985323,0.03260483695652174,942.0,314.0,5.876857749469214,2.0,53.0,1.45421628400601,0.07088609987999629,0.9720773243326174,0.0279226756673826,0.05,24.0,0.012339636467997087,0.2204889230542312,0.0032414259446054677,0.05710265201413551,0.005439150579835653,0.010561447827599007,0.38906925855070634,0.0,2954,control,10.25349/D9031Z,20000.0,False,180.0,Sharf et al. 2022 three-minute recording protocol
