active_channel_fraction,activity_decay_log2_ratio,activity_trend_normalized_slope,amplitude_iqr,amplitude_median,avalanche_bin_s,avalanche_branching_ratio,avalanche_count,avalanche_criticality_distance,avalanche_duration_mean_s,avalanche_rate_per_min,avalanche_size_cv,avalanche_size_max,avalanche_size_mean,avalanche_size_median,connectivity_bin_s,connectivity_channels_used,dominant_channel_fraction,duration_s,event_quality_score,excluded_out_of_range_spikes,feature_schema_version,firing_rate_cv,firing_rate_max_hz,firing_rate_mean_hz,firing_rate_median_hz,firing_rate_std_hz,firing_stability_cv,granger_log_variance_ratio_max,granger_log_variance_ratio_mean,input_total_spikes,isi_cv_mean,isi_median_s,mutual_information_max_bits,mutual_information_mean_bits,n_channels,network_burst_mean_duration_s,network_burst_participation,network_burst_rate_per_min,network_clustering,network_density,population_entropy,recording_id,refractory_violation_fraction,sttc_max,sttc_mean,sttc_median,total_spikes,transfer_entropy_asymmetry_mean_bits,transfer_entropy_max_bits,transfer_entropy_mean_bits,fs_id,functional_phenotype_index,anomaly_percentile,anomaly_raw,pc1,pc2
0.875,0.05821461394529579,0.07418950506453503,100.424996,-43.68,0.09503037713878328,1.0017241379310344,939.0,0.0017241379310344307,0.1696175847546334,140.85000000000002,4.23467280965696,308.0,4.490947816826411,1.0,0.05,8.0,0.2805311833056675,400.0,99.97854077253218,0.0,2.0,0.7740787941860986,2.9575,1.3178125,1.07875,1.0200907109633681,0.10465948973176617,0.19639905923509396,0.026907831689681454,4217.0,2.325179259428763,0.14335675000000947,0.03961458054722123,0.005243130431712011,8.0,0.1051923076923077,0.26826923076923076,39.0,0.317588162094116,0.25,0.2822962165224319,fs363-org0,0.00010729613733905579,0.6420427466094956,0.11880051587307079,0.018566377921362717,4217.0,0.0011106398330545785,0.015541265455855949,0.0023468655323680607,363.0,33.33333333333333,2.2222222222222223,0.3789218154278225,-0.5661926130225712,-0.030583629022012948
1.0,-2.212350667811678,-0.12983856969276145,100.424997,-50.309998,0.06084179666531111,0.9995249406175772,979.0,0.00047505938242276,0.13597737599969428,97.89999999999999,6.030671529803952,1220.0,10.087844739530134,1.0,0.05,8.0,0.41069258809234505,600.0,84.93594720496894,0.0,2.0,0.8916124548675122,6.76,2.0575,1.3333333333333335,1.8344926258899064,0.6097318465754902,0.3495698826354225,0.08877101892690788,9876.0,4.829551960109995,0.00754975000000524,0.05506758249855129,0.026354870220030285,8.0,0.17223974763406943,0.22634069400630916,31.7,0.6411853134925822,0.75,0.22900519419430315,fs363-org1,0.0003202639751552795,0.8636429817560041,0.4855704019014078,0.6631227507614738,9876.0,0.0031665029995923714,0.01907433783193081,0.007869886617779185,363.0,100.0,91.11111111111111,0.5451134336070327,-1.0205301265934756,2.3754673874726993
1.0,3.594393726653984,1.7332039776861516,103.74,-45.239998,0.1,0.9939098660170523,812.0,0.006090133982947665,0.15960591133004928,81.2,6.852241514425152,576.0,5.802955665024631,1.0,0.05,8.0,0.22983870967741934,600.0,84.97689463955638,0.0,2.0,0.42557321199410747,1.805,0.9816666666666667,0.8975,0.41777103644088215,1.1156324871970817,0.27400483771218964,0.06775616297356749,4712.0,3.023122748829678,0.009583000000006336,0.03963492550213286,0.006622002452365793,8.0,0.09292237442922377,0.2197488584474886,21.9,0.5211745698068534,0.5714285714285714,0.1692980322308457,fs363-org2,0.0001155268022181146,0.8431726293511981,0.26970927426966257,0.2886795268317746,4712.0,0.0009440437946288118,0.01611377053286284,0.0029681970363623087,363.0,82.22222222222221,57.77777777777777,0.4555191260915094,-0.8969290651831596,1.521356187689325
1.0,-0.029087578880515302,-0.019933554817275354,14.235,-49.14,0.1,0.995260663507109,1199.0,0.004739336492891044,0.17506255212677233,119.89999999999999,6.025844630946589,529.0,3.658048373644704,1.0,0.05,8.0,0.3134974920200638,600.0,100.0,0.0,2.0,0.7259701089305846,2.2916666666666665,0.9137500000000001,0.7916666666666666,0.6633551870353217,0.3678661369131769,0.30425391563490806,0.032116609887602274,4386.0,1.939060580196087,0.19964799999999627,0.017708991349061853,0.0020842659598539334,8.0,0.07154046997389034,0.22258485639686684,38.3,0.4848852957710248,0.25,0.23422832514358882,fs363-org3,0.0,0.6345399088291015,0.1000252681037832,0.005536411073288318,4386.0,0.00035069501659867923,0.010575208175052921,0.0013045894664184955,363.0,28.888888888888886,4.444444444444445,0.3873137199005224,-0.4780167479526046,0.058175563416712255
0.875,0.48768059844037104,0.20966216010010097,12.480000000000004,-47.774998,0.1,0.9925442684063374,961.0,0.00745573159366264,0.16555671175858483,96.1,5.918077332551948,443.0,4.870967741935484,1.0,0.05,8.0,0.3198034607989746,600.0,99.97384937238493,0.0,2.0,0.7151707530139946,2.495,0.9752083333333333,0.7758333333333334,0.6974404780955227,0.22328991081406013,0.34808094836994835,0.051924978586027404,4681.0,4.442669136619269,0.01722524999998143,0.03998637004150118,0.008916791244534103,8.0,0.11469194312796212,0.245260663507109,21.1,0.5972811819603198,0.4642857142857143,0.20038349055507654,fs367-org0,0.0001307531380753138,0.8112388456481641,0.24866973209693913,0.08935107890502464,4681.0,0.002307903345356234,0.01992095970137147,0.0031920855378026218,367.0,68.88888888888889,15.555555555555555,0.40172900697683545,-0.8285720549410529,0.9528354795973899
1.0,-0.9268335874380287,-0.32537485933270455,91.454994,-37.829998,0.1,0.9973118279569892,886.0,0.0026881720430107503,0.18826185101580142,88.6,4.937746113365079,509.0,5.301354401805869,1.0,0.05,8.0,0.3116883116883117,600.0,100.0,0.0,2.0,0.7264507894895897,2.44,0.9785416666666666,0.6483333333333334,0.7108623662984589,0.3281325926057809,0.2787329124575517,0.058784314002627354,4697.0,2.685026738050706,0.021983499999976175,0.012759201556102604,0.003229029547404502,8.0,0.10623376623376625,0.19805194805194806,38.5,0.45675055059699965,0.39285714285714285,0.21522061903557832,fs367-org1,0.0,0.7391668517998551,0.21880284761397548,0.04269310527545994,4697.0,0.0008277337147023094,0.0075716879593441715,0.0018211691297846642,367.0,64.44444444444444,6.666666666666667,0.38780991546886706,-0.801228364809571,0.5595260498059087
0.875,-0.9296106721086023,-0.15487140979913627,74.68499800000001,-36.074997,0.1,0.9988344988344988,983.0,0.0011655011655011815,0.16592065106815873,98.30000000000001,3.7867685700121063,210.0,3.096642929806714,2.0,0.05,8.0,0.297634691195795,600.0,99.93961352657004,0.0,2.0,0.695326738230355,1.51,0.6341666666666667,0.5283333333333333,0.4409530398277501,0.29952292120195934,0.13929973876376073,0.01053138673850943,3044.0,1.9793839998893605,0.303413500000012,0.007363576853634604,0.0010613544118187638,8.0,0.07111801242236025,0.19604037267080746,32.199999999999996,0.1661353969934266,0.2857142857142857,0.22821083335639067,fs367-org2,0.00030193236714975844,0.45575575789173767,0.08889069713055982,0.028926193016950097,3044.0,0.00028568204793089476,0.004950370122814013,0.0006426763706336094,367.0,22.22222222222222,35.55555555555556,0.42178765218857744,-0.26149039209448127,0.010275431732998157
0.25,0.011404763272249343,0.23138832997987957,84.824998,-41.34,0.1,0.9787234042553191,645.0,0.021276595744680882,0.11302325581395349,64.5,0.4755998311240294,5.0,1.3209302325581396,1.0,0.05,8.0,0.4835680751173709,600.0,82.5,0.0,2.0,1.5446366135983263,0.6866666666666666,0.1775,0.026666666666666665,0.2741729989137029,0.16862239432927673,0.0007714658192425674,3.370562496408202e-05,852.0,0.8182528969051522,14.61716450000003,0.0076404722772129025,0.0003924565208481899,8.0,0.049999999999999996,0.19270833333333334,7.199999999999999,0.0,0.17857142857142858,0.30881606383470667,fs367-org3,0.0,0.6920235957937936,0.059492252890906316,-0.000516666666666256,852.0,2.818048879343416e-05,0.00026053331473551886,1.4864209487996745e-05,367.0,2.2222222222222223,97.77777777777777,0.6029015803355238,22.47201294320397,0.6963813299745841
0.875,-0.8124634564311739,-0.4078943373311067,17.354999999999997,-35.879997,0.1,0.9975579975579976,1203.0,0.0024420024420024333,0.14630091438071488,60.15,8.216999392055214,748.0,3.911055694098088,1.0,0.05,8.0,0.5049946865037195,1200.0,99.98947368421052,0.0,2.0,1.1827487909219223,1.98,0.4901041666666666,0.27166666666666667,0.5796701105507962,0.5338986255961382,0.2749508815405034,0.0691006969110741,4705.0,3.12534357328761,0.028057750000010984,0.013484412573293721,0.004850466348189211,8.0,0.11196078431372548,0.19019607843137254,12.75,0.5672740173804897,0.8214285714285714,0.1417858424301494,fs371-org0,5.2631578947368424e-05,0.6519653579263717,0.33493592298549046,0.3659665490670353,4705.0,0.0013604394884145523,0.0067424564280953924,0.0020486768650641147,371.0,51.11111111111111,86.66666666666667,0.5049162421754072,-0.7758767599510559,1.6480438386826297
0.75,2.2733414978871984,0.7031803789991028,8.969999999999999,-33.735,0.09956523981373691,0.9948141745894555,1263.0,0.0051858254105444646,0.15388071901537168,126.3,10.522322723537693,1149.0,4.78701504354711,1.0,0.05,8.0,0.34022494211048626,600.0,84.96948510716102,0.0,2.0,0.9948820334869171,3.4283333333333332,1.2595833333333333,0.655,1.2531368280128958,0.5238733567212768,0.2871218810762557,0.04097733280004919,6046.0,2.731832622058213,0.09708200000000744,0.09456845748049904,0.007506237194375647,8.0,0.07331975560081466,0.2584012219959267,49.1,0.410671295046751,0.5357142857142857,0.2200447757164284,fs371-org1,0.0001525744641949068,0.6818291585525813,0.21316515397254474,0.1484028369908022,6046.0,0.0006327578771913491,0.023881147746467036,0.0028963442880685125,371.0,37.77777777777778,40.0,0.42602170483560353,-0.6275637022166525,0.514610993477623
